S/N,Month,Terminal ID,Terminal Serial,Business Name,Payment Value,Payment Volume,Transfer Value,Transfer Volume,"Target PaymentValue",Target Met,"Days Since LastTransaction",Business Registration Date,Terminal Assignment Date,Last Transaction Date
1,May,20336YL7,P260300807490,Optimum Drinks,"40,253,150.00",23,0,0,"20,000.00",TRUE,0,,,
2,May,2070RU7G,P260300852479,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKURE4","8,244,461.00",376,0,0,"20,000.00",TRUE,0,,,
3,May,2057XGSP,P260301651356,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKURE6","8,130,161.00",456,0,0,"20,000.00",TRUE,0,,,
4,May,20331HXW,P260301816264,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY KUJE","7,771,666.01",222,0,0,"20,000.00",TRUE,0,,,
5,May,2057XGSF,P260301671402,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYMAJIDUN","7,769,777.00",301,0,0,"20,000.00",TRUE,0,,,
6,May,2057XGUR,P260300360770,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKURE5","6,315,640.00",264,0,0,"20,000.00",TRUE,0,,,
7,May,2070APAX,P260300101964,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OJODU","5,779,724.60",216,0,0,"20,000.00",TRUE,0,,,
8,May,20700CSI,P260301804280,Abu AIsh Islamic medicine,"5,653,500.00",86,"5,525,800.00",39,"20,000.00",TRUE,0,,,
9,May,2070I9US,P260301345318,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY FELELE","5,443,894.40",267,0,0,"20,000.00",TRUE,0,,,
10,May,2070I9HE,P260301086319,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OJODU","4,798,168.00",206,0,0,"20,000.00",TRUE,0,,,
11,May,2033OSQF,P260300230730,Voices Telecom 3,"4,067,500.00",37,"3,825,930.00",30,"20,000.00",TRUE,0,,,
12,May,2057QG1B,P260301581188,Peacemax,"3,777,000.00",14,"3,519,500.00",20,"20,000.00",TRUE,0,,,
13,May,2070SG5D,P260301504640,"BOVAS & COMPANY LIMITED -BOVAS AUST ABUJA","3,596,039.00",255,0,0,"20,000.00",TRUE,0,,,
14,May,2070AQVM,P260301167127,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY TOLLGATE","3,576,092.00",126,0,0,"20,000.00",TRUE,0,,,
15,May,2057XGVG,P260301086121,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYYEMETU","3,530,492.00",168,0,0,"20,000.00",TRUE,0,,,
16,May,2070RY7C,P260301163604,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ISEYIN","3,354,260.00",58,0,0,"20,000.00",TRUE,0,,,
17,May,2033FJAL,P260301172678,BIN UMAR VENTURE,"3,180,700.00",17,"3,894,000.00",35,"20,000.00",TRUE,0,,,
18,May,2057XGTX,P260301336359,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYIBRAHIM TAIWO","3,094,060.00",101,0,0,"20,000.00",TRUE,0,,,
19,May,2070Y5VK,P260300189622,Damope touch of god,"2,936,600.00",48,0,0,"20,000.00",TRUE,0,,,
20,May,2057UKTT,P260301188106,Cloud 7 Multi services 5,"2,719,850.00",22,0,0,"20,000.00",TRUE,0,,,
21,May,2057TKWM,P260301671404,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY TOLLGATE","2,692,311.00",111,0,0,"20,000.00",TRUE,0,,,
22,May,2070V9JF,P260301816260,Zartech Bodija Outlet,"2,567,332.00",111,0,0,"20,000.00",TRUE,0,,,
23,May,2033TLJ4,P260300497469,DOA Ventures,"2,543,100.00",14,"4,591,400.00",14,"20,000.00",TRUE,0,,,
24,May,2033X22Z,P260300784157,Solat Telecoms Iwo road,"2,530,000.00",21,0,0,"20,000.00",TRUE,0,,,
